Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Label,GroupNumber,NumberWithinGroup,GroupSize,HomePlanetEuropa,HomePlanetEarth,HomePlanetMars,CryoSleepTrue,CryoSleepMissing,CabinNumber,CabinMissing,CabinFirstLetterA,CabinFirstLetterB,CabinFirstLetterC,CabinFirstLetterD,CabinFirstLetterE,CabinFirstLetterF,CabinFirstLetterG,CabinLastLetterP,DestinationTrappist,DestinationPSO,DestinationCancri,Toddler,Child,VIPTrue,VIPMissing,Spending,SpentMoney,NameLength
39.0,0.0,0.0,0.0,0.0,0.0,False,train,1,1,1,1,0,0,0,0,0.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0,15.0
24.0,109.0,9.0,25.0,549.0,44.0,True,train,2,1,1,0,1,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,736.0,1,12.0
58.0,43.0,3576.0,0.0,6715.0,49.0,False,train,3,1,2,1,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10383.0,1,13.0
33.0,0.0,1283.0,371.0,3329.0,193.0,False,train,3,2,2,1,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5176.0,1,12.0
16.0,303.0,70.0,151.0,565.0,2.0,True,train,4,1,1,0,1,0,0,0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1091.0,1,17.0
44.0,0.0,483.0,0.0,291.0,0.0,True,train,5,1,1,0,1,0,0,0,0.0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,774.0,1,17.0
26.0,42.0,1539.0,3.0,0.0,0.0,True,train,6,1,2,0,1,0,0,0,2.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1584.0,1,18.0
28.0,0.0,0.0,0.0,0.0,307.0,True,train,6,2,2,0,1,0,1,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0,18.0
35.0,0.0,785.0,17.0,216.0,0.0,True,train,7,1,1,0,1,0,0,0,3.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1018.0,1,13.0
14.0,0.0,0.0,0.0,0.0,0.0,True,train,8,1,3,1,0,0,1,0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0.0,0,14.0
34.0,0.0,0.0,175.0,0.0,0.0,True,train,8,2,3,1,0,0,1,0,1.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0,14.0
45.0,39.0,7295.0,589.0,110.0,124.0,True,train,8,3,3,1,0,0,0,0,1.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,8157.0,1,13.0
32.0,73.0,0.0,1123.0,0.0,113.0,True,train,9,1,1,0,0,1,0,0,1.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1309.0,1,12.0
48.0,719.0,1.0,65.0,0.0,24.0,False,train,10,1,1,0,1,0,0,0,1.0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,809.0,1,14.0
28.0,8.0,974.0,12.0,2.0,7.0,True,train,11,1,1,0,1,0,0,0,2.0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1003.0,1,15.0
